id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1389368228724441088,1389283253694177286,2021-05-04 00:56:13 GMT Summer Time,2021-05-04,00:56:13,+0100,930566216770469888,joshuavill2,Joshua Vill,,@woodenshack101 @honey_btc No not at all controlled. I just take advantage of obvious opportunities. Fact is Ethereum has a purpose and people are using it for its purpose. I just invest and sell. If me taking advantage is me being controlled then so be it. As long as I’m making money🤷‍♂️,en,[],[],[],1,0,1,[],[],https://twitter.com/JoshuaVill2/status/1389368228724441088,False,,0,,,,,,,,"[{'screen_name': 'honey_btc', 'name': 'Honey', 'id': '1304288255253254144'}]",,,,
1389368225478057986,1389368225478057986,2021-05-04 00:56:12 GMT Summer Time,2021-05-04,00:56:12,+0100,1356079634513678336,tronchakra,Chakra TRON,,Better late than never #btc #trx,en,[],[],[],0,0,0,"['btc', 'trx']",[],https://twitter.com/TronChakra/status/1389368225478057986,False,,0,,,,,,,,[],,,,
1389368213100761089,1389368213100761089,2021-05-04 00:56:09 GMT Summer Time,2021-05-04,00:56:09,+0100,394685011,mbonft,MBO,,SHIBA TO THE MOON🐶🪙🚀   https://t.co/OPLrjTrV9A Referral Program Upgraded! Sign up now to win together!   https://t.co/EaRFcGh5md  #SHIB #shibainu #shiba #SHIBARMY $shib #BTC #bwexchange #bw #ETH #shibaswap #Binance #mxc #GateIo #dogecoin #doge #btt  https://t.co/yBw0G32Axr,en,[],"['http://Gate.io', 'https://www.gate.io/signup/4049516']",[],3,1,8,"['shib', 'shibainu', 'shiba', 'shibarmy', 'btc', 'bwexchange', 'bw', 'eth', 'shibaswap', 'binance', 'mxc', 'gateio', 'dogecoin', 'doge', 'btt']",['shib'],https://twitter.com/mbonft/status/1389368213100761089,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1389367774833692674/pu/img/SITNqKCXpeI9Qgf0.jpg,,,,,,,[],,,,
1389368209984430083,1389363244930895874,2021-05-04 00:56:09 GMT Summer Time,2021-05-04,00:56:09,+0100,1389034725340221445,xud187,stocks,,@Jonatha52785540 And they both measure bullish and bearish change im trends. And theyre reading bearish trend coming. Unlike people charts have no emotions I invest off data not feelings. #btc  #doge all going down big. Not scaring anying one simply stating facts,en,[],[],[],0,0,0,"['btc', 'doge']",[],https://twitter.com/xud187/status/1389368209984430083,False,,0,,,,,,,,[],,,,
1389368209615192066,1389368209615192066,2021-05-04 00:56:09 GMT Summer Time,2021-05-04,00:56:09,+0100,1079291013762433024,binglanhuazai,blockchain bitcoin domainname sale,, https://t.co/U7LhLQtdKn The blockchain cryptocurrency Decentralized Exchange domainname is for sale. Only $10k #blockchain #crypto #cryptocurrency #DeFi #Ethereum #NFTs #Bitcoin #NFT #ETH #BTC #coin #token #coindefi #tokendefi #cryptodefi #domainnames #domains #finance #fintech  https://t.co/lVSKAi4gwj,en,[],['http://CoinTokenDeFi.com'],['https://pbs.twimg.com/media/E0gHBcXVgAEeRM_.jpg'],0,1,1,"['blockchain', 'crypto', 'cryptocurrency', 'defi', 'ethereum', 'nfts', 'bitcoin', 'nft', 'eth', 'btc', 'coin', 'token', 'coindefi', 'tokendefi', 'cryptodefi', 'domainnames', 'domains', 'finance', 'fintech']",[],https://twitter.com/binglanhuazai/status/1389368209615192066,False,,1,https://pbs.twimg.com/media/E0gHBcXVgAEeRM_.jpg,,,,,,,[],,,,
1389368198307397637,1389368198307397637,2021-05-04 00:56:06 GMT Summer Time,2021-05-04,00:56:06,+0100,836388589676216320,kamanel_javier,Javier Kamanel ⚡️Maiar Herotag: @javisensacion 🌱,,Deja Vu #BTC looks like already lived this situación $eGLD @getMaiar buy @ElrondNetwork Stake It earn $MEX  #elrondnetwork #altcoin  https://t.co/N9uqZspk4D,en,"[{'screen_name': 'getmaiar', 'name': 'maiar: crypto & egold wallet', 'id': '1284757767052496898'}, {'screen_name': 'elrondnetwork', 'name': 'elrond ⚡️', 'id': '986967941685153792'}]",[],['https://pbs.twimg.com/media/E0gHAzyXIAEJfPo.jpg'],0,0,6,"['btc', 'elrondnetwork', 'altcoin']","['egld', 'mex']",https://twitter.com/kamanel_javier/status/1389368198307397637,False,,1,https://pbs.twimg.com/media/E0gHAzyXIAEJfPo.jpg,,,,,,,[],,,,
1389368180162891776,1389368180162891776,2021-05-04 00:56:02 GMT Summer Time,2021-05-04,00:56:02,+0100,915215239699775488,btc_break,BTC（ビットコイン）価格通知 bot,,"【下落】6,260,000円を下回りました。 #ビットコイン #仮想通貨 #BTC",ja,[],[],[],0,0,2,"['ビットコイン', '仮想通貨', 'btc']",[],https://twitter.com/btc_break/status/1389368180162891776,False,,0,,,,,,,,[],,,,
1389368177973334016,1343165409982181376,2021-05-04 00:56:01 GMT Summer Time,2021-05-04,00:56:01,+0100,472940128,kunsanubari,Kuntadi Sanubari,,"$BTC #BTC Update : based on monthly data of bitcoin price, Q3 always bleeding most of the time. even in stock market theres phenomenon "" sell in May n go away"". based on price action 75k will hit in the end of june. #Bitcoin  https://t.co/pVHdZCJbbL",en,[],[],"['https://pbs.twimg.com/media/E0gE0xMVcAIag6E.jpg', 'https://pbs.twimg.com/media/E0gE3e4VoAACicU.jpg']",1,0,0,"['btc', 'bitcoin']",['btc'],https://twitter.com/KunSanubari/status/1389368177973334016,False,,1,https://pbs.twimg.com/media/E0gE0xMVcAIag6E.jpg,,,,,,,[],,,,
1389368175901372416,1389346964710596614,2021-05-04 00:56:01 GMT Summer Time,2021-05-04,00:56:01,+0100,941974343210246144,crypto_blok,Wolf_ETHmaxi,,@Crypto_Chase Usd or btc position?,en,[],[],[],1,0,0,[],[],https://twitter.com/crypto_blok/status/1389368175901372416,False,,0,,,,,,,,"[{'screen_name': 'Crypto_Chase', 'name': 'Crypto Chase', 'id': '236066949'}]",,,,
1389368172906639361,1366523268149235717,2021-05-04 00:56:00 GMT Summer Time,2021-05-04,00:56:00,+0100,973601760576073728,accountantinc,The Accountant’s Perspective,,@cryptunez Can one of you TA guys do a FIB extension or something on the ETH/BTC chart.   Please 👉👈,en,[],[],[],0,0,0,[],[],https://twitter.com/AccountantInc/status/1389368172906639361,False,,0,,,,,,,,"[{'screen_name': 'cryptunez', 'name': '$DOGE TO $3 🔥🚀 (69 IQ)', 'id': '752747080066723840'}]",,,,
1389368172155920385,1389368172155920385,2021-05-04 00:56:00 GMT Summer Time,2021-05-04,00:56:00,+0100,774678899712294912,newscryptobot,DoodBot,,"May 3, 2021 23:55:00 UTC The price of $BTC currently is $57250.23",en,[],[],[],0,0,0,[],['btc'],https://twitter.com/NewsCryptoBot/status/1389368172155920385,False,,0,,,,,,,,[],,,,
1389368165323399169,1389368165323399169,2021-05-04 00:55:58 GMT Summer Time,2021-05-04,00:55:58,+0100,905696024504750080,investdatasyst,Investdata Fintech France,,"Volatility detected on $WNXM : Price = [00096.31000000 USDT] Diff%(t/t-1)=+02,888%  #WNXMUSDT  https://t.co/IcC9Ou3PyJ  #cryptocurrency #binance #bitcoin #crypto #blockchain #ethereum #btc #investing #trading #investment #investor #invest #eth #trader",en,[],['https://ichimoku-expert.blogspot.com'],[],0,0,0,"['wnxmusdt', 'cryptocurrency', 'binance', 'bitcoin', 'crypto', 'blockchain', 'ethereum', 'btc', 'investing', 'trading', 'investment', 'investor', 'invest', 'eth', 'trader']",['wnxm'],https://twitter.com/InvestdataSyst/status/1389368165323399169,False,,0,,,,,,,,[],,,,
